Heliostat No. 18660: x=-708.398311m | y=402.825247m
Heliostat No. 18720: x=-762.967014m | y=-219.403323m
Heliostat No. 18780: x=-365.859264m | y=-701.535640m
Heliostat No. 18840: x=255.295843m | y=-767.205040m
Heliostat No. 18900: x=744.441351m | y=-378.768675m
Heliostat No. 18960: x=831.092005m | y=246.611550m
Heliostat No. 19020: x=451.912385m | y=743.778001m
Heliostat No. 19080: x=-166.075452m | y=838.871103m
Heliostat No. 19140: x=-677.178622m | y=478.697237m
Heliostat No. 19200: x=-795.493880m | y=-135.267879m
Heliostat No. 19260: x=-454.837491m | y=-659.581611m
Heliostat No. 19320: x=154.232604m | y=-800.950927m
Heliostat No. 19380: x=691.011970m | y=-480.296008m
Heliostat No. 19440: x=865.269771m | y=131.563181m
Heliostat No. 19500: x=562.688134m | y=679.446690m
Heliostat No. 19560: x=-33.491215m | y=869.977975m
Heliostat No. 19620: x=-597.732186m | y=599.119869m
Heliostat No. 19680: x=-821.938231m | y=14.770969m
Heliostat No. 19740: x=-583.684513m | y=-563.992499m
Heliostat No. 19800: x=-13.066420m | y=-821.144165m
Heliostat No. 19860: x=578.337353m | y=-616.269657m
Heliostat No. 19920: x=867.598359m | y=-61.238075m
Heliostat No. 19980: x=709.184934m | y=542.740259m
Heliostat No. 20040: x=174.851850m | y=869.812656m
Heliostat No. 20100: x=-439.375228m | y=746.470476m
Heliostat No. 20160: x=-806.019165m | y=238.473998m
Heliostat No. 20220: x=-729.602569m | y=-383.336826m
Heliostat No. 20280: x=-250.867193m | y=-787.441562m
Heliostat No. 20340: x=374.947661m | y=-758.390474m
Heliostat No. 20400: x=814.186797m | y=-311.672243m
Heliostat No. 20460: x=842.935832m | y=318.499532m
Heliostat No. 20520: x=432.456685m | y=792.554591m
Heliostat No. 20580: x=-190.190012m | y=866.934831m
Heliostat No. 20640: x=-700.784706m | y=502.909574m
Heliostat No. 20700: x=-833.454657m | y=-109.968891m
Heliostat No. 20760: x=-519.117042m | y=-652.567446m
Heliostat No. 20820: x=78.548799m | y=-842.348561m
Heliostat No. 20880: x=648.331142m | y=-580.490947m
Heliostat No. 20940: x=893.537534m | y=-3.346984m
Heliostat No. 21000: x=695.233919m | y=595.251255m
Heliostat No. 21060: x=144.784105m | y=896.809479m
Heliostat No. 21120: x=-466.599121m | y=754.883761m
Heliostat No. 21180: x=-827.908998m | y=241.670811m
Heliostat No. 21240: x=-755.349488m | y=-381.761203m
Heliostat No. 21300: x=-285.831152m | y=-798.276378m
Heliostat No. 21360: x=341.805016m | y=-795.996091m
Heliostat No. 21420: x=808.284485m | y=-376.080310m
Heliostat No. 21480: x=885.085661m | y=257.666405m
Heliostat No. 21540: x=517.811753m | y=767.305581m
Heliostat No. 21600: x=-94.428926m | y=907.959643m
Heliostat No. 21660: x=-647.303897m | y=609.712297m
Heliostat No. 21720: x=-865.990178m | y=20.816275m
Heliostat No. 21780: x=-641.783233m | y=-566.000102m
Heliostat No. 21840: x=-86.131808m | y=-859.042262m
Heliostat No. 21900: x=524.760994m | y=-712.644866m
Heliostat No. 21960: x=887.232699m | y=-199.579103m
Heliostat No. 22020: x=832.121727m | y=427.689107m
Heliostat No. 22080: x=372.961849m | y=857.181802m
Heliostat No. 22140: x=-255.256263m | y=882.356651m
Heliostat No. 22200: x=-747.311089m | y=490.982383m
Heliostat No. 22260: x=-864.136422m | y=-126.790723m
Heliostat No. 22320: x=-548.972347m | y=-670.815884m
Heliostat No. 22380: x=45.057790m | y=-876.776960m
Heliostat No. 22440: x=629.342795m | y=-644.607188m
Heliostat No. 22500: x=920.006169m | y=-87.106899m
Heliostat No. 22560: x=785.495835m | y=530.188168m
Heliostat No. 22620: x=278.030063m | y=902.237019m
Heliostat No. 22680: x=-349.623951m | y=857.601883m
Heliostat No. 22740: x=-799.333124m | y=417.484267m
Heliostat No. 22800: x=-857.487445m | y=-209.061766m
Heliostat No. 22860: x=-496.463848m | y=-724.429420m
Heliostat No. 22920: x=112.252938m | y=-883.821173m
Heliostat No. 22980: x=679.524936m | y=-611.526596m
Heliostat No. 23040: x=935.900274m | y=-36.884496m
Heliostat No. 23100: x=767.506440m | y=574.963804m
Heliostat No. 23160: x=242.674949m | y=922.994219m
Heliostat No. 23220: x=-383.265106m | y=853.912301m
Heliostat No. 23280: x=-819.568739m | y=399.806143m
Heliostat No. 23340: x=-863.575820m | y=-228.394972m
Heliostat No. 23400: x=-494.845353m | y=-738.895811m
Heliostat No. 23460: x=115.349818m | y=-894.572134m
